Module,Chapter,Lecture Number,Lecture Title,Duration
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Deep Multi-layer perceptrons,59.18,Auto Encoders.,27 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Deep Multi-layer perceptrons,59.19,Word2Vec :CBOW,19 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Deep Multi-layer perceptrons,59.20,Word2Vec: Skip-gram,14 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Deep Multi-layer perceptrons,59.21,Word2Vec :Algorithmic Optimizations.,12 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Tensorflow and Keras.,60.1,Tensorflow and Keras overview,23 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Tensorflow and Keras.,60.2,GPU vs CPU for Deep Learning.,23 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Tensorflow and Keras.,60.3,Google Colaboratory.,5 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Tensorflow and Keras.,60.4,Install TensorFlow,6 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Tensorflow and Keras.,60.5,Online documentation and tutorials,6 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Tensorflow and Keras.,60.6,Softmax Classifier on MNIST dataset.,32 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Tensorflow and Keras.,60.7,MLP: Initialization,11 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Tensorflow and Keras.,60.8,Model 1: Sigmoid activation,22 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Tensorflow and Keras.,60.9,Model 2: ReLU activation.,6 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Tensorflow and Keras.,60.10,Model 3: Batch Normalization.,8 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Tensorflow and Keras.,60.11,Model 4 : Dropout.,5 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Tensorflow and Keras.,60.12,MNIST classification in Keras.,18 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Tensorflow and Keras.,60.13,Hyperparameter tuning in Keras.,11 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.1,Biological inspiration: Visual Cortex,18 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.2,Convolution:Edge Detection on images.,28 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.3,Convolution:Padding and strides,19 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.4,Convolution over RGB images.,11 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.5,Convolutional layer.,23 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.6,Max-pooling.,12 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.7,CNN Training: Optimization,9 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.8,Receptive Fields and Effective Receptive Fields,8 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.9,Example CNN: LeNet [1998],10 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.10,ImageNet dataset.,6 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.11,Data Augmentation.,8 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.12,Convolution Layers in Keras,17 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.13,AlexNet,13 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.14,VGGNet,11 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.15,Residual Network.,22 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.16,Inception Network.,19 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.17,What is Transfer learning.,23 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.18,Code example: Cats vs Dogs.,15 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.19,Code Example: MNIST dataset.,6 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Convolutional Neural Nets.,61.20,[Interview Question] How to build a face recognition system?,1 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Long Short-term memory (LSTMs),62.1,Why RNNs?,23 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Long Short-term memory (LSTMs),62.2,Recurrent Neural Network.,29 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Long Short-term memory (LSTMs),62.3,Training RNNs: Backprop.,16 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Long Short-term memory (LSTMs),62.4,Types of RNNs.,14 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Long Short-term memory (LSTMs),62.5,Need for LSTM/GRU.,10 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Long Short-term memory (LSTMs),62.6,LSTM.,35 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Long Short-term memory (LSTMs),62.7,GRUs.,7 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Long Short-term memory (LSTMs),62.8,Deep RNN.,7 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Long Short-term memory (LSTMs),62.9,Bidirectional RNN.,12 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Long Short-term memory (LSTMs),62.10,Code example : IMDB Sentiment classification,33 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Generative Adversarial Networks (GANs),63.1,Live session on Generative Adversarial Networks (GAN),124 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Encoder-Decoder Models,64.1,LIVE: Encoder-Decoder Models,82 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Attention Models in Deep Learning,65.1,Attention Models in Deep Learning,84 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Transformers and BERT,66.1,Transformers and BERT,112 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Image Segmentation,67.1,Live session on Image Segmentation,95 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Object Detection,68.1,Object Detection,123 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Deep Learning: Object Detection,68.2,Object Detection YOLO V3,103 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning","Deep Learning: GPT-1, 2 and GPT-3 Models",69.1,"GPT-1, 2 and GPT-3 Models",130 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",OpenCV using Python,70.1,Code Walkthrough (OpenCV using Python),
"Module 8: Neural Networks, Computer Vision and Deep Learning",OpenCV using Python,70.2,Design and build a Smart Store,
"Module 8: Neural Networks, Computer Vision and Deep Learning",Interview Questions on Deep Learning,71.1,Questions and Answers,30 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.1,Code Walkthrough: Tensorflow 2.0 + Keras,
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.2,Code Walkthrough: Tensorflow 2.0 + Keras --II,
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.3,Code Walkthrough: DC-GANs and Gradient Tape,
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.4,Code Walkthrough: Time Series forecasting using LSTMs/GRUs,
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.5,Code Walkthrough Live Session: BERT and Fine-Tuning,
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.6,Code Walkthrough: BERT- QuestionAnswering System,
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.7,Code-Walkthrough: Transformers from scratch-I,
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.8,Code-Walkthrough: Transformers from scratch-II,
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.9,LIVE: Problem solving [Classification Algorithms],
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.10,Vision Transformers [from ICLR 2021],
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.11,"Interview Questions on Deep Learning (NN, MLP, CNNs)",
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.12,Interactive Interview Questions(from top product based companies),
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.13,Scenario based interview questions in AI/ML/DataScience,
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.14,LIVE : Explainable AI [ LIME & SHAP ],
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.15,LIVE_ Explainable AI [ SHAP ],
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.16,Cutting-edge Recommender system for travel-booking by NVIDIA Engineers,
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.17,Case-based Live: Deep Learning based Recommender Systems [ Algos + Design ],
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.18,"Entity Embeddings @ LinkedIn, Amazon Session-1",
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.19,"Entity Embeddings @ LinkedIn, Amazon Session-2",
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.20,Graph Neural Nets & Geometric Learning - PART 1,
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.21,Graph Neural Nets & Geometric Learning --Part-2,112 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.22,Live Session: Graph Neural Nets & Geometric Learning --Part-3,86 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.23,Graph Neural Nets & Geometric Learning --Part-4,84 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.24,Interactive Interview Session on NLP (Classical to SOTA),
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.25,Live Session(02nd July 2022): Interactive Interview Session on DL (MLPs),1 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.26,Live Session(31st July 2022): Interview Session on CNNs,1 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.27,Live Session(28th Aug 2022): Knowledge Distillation in Deep Learning,1 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.28,Live Session(30th Oct 2022): Scenario based interview Questions,1 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.29,Live Session(04th Dec 2022): ML System Design of Image Search Engine,1 mins
"Module 8: Neural Networks, Computer Vision and Deep Learning",Module 8: Live Sessions,72.30,Live Session(22nd January 2023): Interview Session for ML Engineer roles,
Module 9: Deep Learning Real-World Case Studies,Case Study 11: Human Activity Recognition,73.1,Human Activity Recognition Problem definition,9 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 11: Human Activity Recognition,73.2,Dataset understanding,22 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 11: Human Activity Recognition,73.3,Data cleaning & preprocessing,4 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 11: Human Activity Recognition,73.4,EDA:Univariate analysis.,5 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 11: Human Activity Recognition,73.5,EDA:Data visualization using t-SNE,5 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 11: Human Activity Recognition,73.6,Classical ML models.,13 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 11: Human Activity Recognition,73.7,Deep-learning Model.,15 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 11: Human Activity Recognition,73.1,Human Activity Recognition Problem definition,9 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 11: Human Activity Recognition,73.2,Dataset understanding,22 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 11: Human Activity Recognition,73.3,Data cleaning & preprocessing,4 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 11: Human Activity Recognition,73.4,EDA:Univariate analysis.,5 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 11: Human Activity Recognition,73.5,EDA:Data visualization using t-SNE,5 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 11: Human Activity Recognition,73.6,Classical ML models.,13 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 11: Human Activity Recognition,73.7,Deep-learning Model.,15 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 10: Self Driving Car,74.1,Self Driving Car :Problem definition.,14 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 10: Self Driving Car,74.2,Datasets.,9 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 10: Self Driving Car,74.3,Data understanding & Analysis :Files and folders.,5 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 10: Self Driving Car,74.4,Dash-cam images and steering angles.,6 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 10: Self Driving Car,74.5,Split the dataset: Train vs Test,3 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 10: Self Driving Car,74.6,EDA: Steering angles,6 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 10: Self Driving Car,74.7,Mean Baseline model: simple,5 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 10: Self Driving Car,74.8,"Deep-learning model:Deep Learning for regression: CNN, CNN+RNN",10 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 10: Self Driving Car,74.9,Batch load the dataset.,6 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 10: Self Driving Car,74.10,NVIDIA’s end to end  CNN model.,18 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 10: Self Driving Car,74.11,Train the model.,13 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 10: Self Driving Car,74.12,Test and visualize the output.,11 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 10: Self Driving Car,74.13,Extensions.,5 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 12: Music Generation using Deep-Learning,75.1,Real-world problem,15 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 12: Music Generation using Deep-Learning,75.2,Music representation,18 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 12: Music Generation using Deep-Learning,75.3,Char-RNN  with abc-notation :Char-RNN model,23 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 12: Music Generation using Deep-Learning,75.4,Char-RNN  with abc-notation :Data preparation.,41 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 12: Music Generation using Deep-Learning,75.5,"Char-RNN  with abc-notation:Many to Many RNN ,TimeDistributed-Dense layer",18 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 12: Music Generation using Deep-Learning,75.6,Char-RNN  with abc-notation : State full RNN,12 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 12: Music Generation using Deep-Learning,75.7,"Char-RNN  with abc-notation :Model architecture,Model training.",13 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 12: Music Generation using Deep-Learning,75.8,Char-RNN  with abc-notation :Music generation.,11 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 12: Music Generation using Deep-Learning,75.9,Char-RNN  with abc-notation :Generate tabla music,3 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 12: Music Generation using Deep-Learning,75.10,MIDI music generation.,4 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 12: Music Generation using Deep-Learning,75.11,Survey blog:,5 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 13: Semantic Search Engine for Q&A [Design + Code],76.1,High Level Design of the Solution,
Module 9: Deep Learning Real-World Case Studies,Case Study 13: Semantic Search Engine for Q&A [Design + Code],76.2,Sentence Vectors and Docker Containerisation,
Module 9: Deep Learning Real-World Case Studies,Case Study 13: Semantic Search Engine for Q&A [Design + Code],76.3,Indexing using ElasticSearch,
Module 9: Deep Learning Real-World Case Studies,Case Study 13: Semantic Search Engine for Q&A [Design + Code],76.4,"Deployment using Flask APIs, Docker and ElasticSearch",
Module 9: Deep Learning Real-World Case Studies,Case Study 14: Building a Smart Gym Assistant from scratch,77.1,Building a Smart Gym Assistant from scratch- Part 1,130 mins
Module 9: Deep Learning Real-World Case Studies,Case Study 14: Building a Smart Gym Assistant from scratch,77.2,Building a Smart Gym Assistant from scratch- Part II,121 mins
Module 9: Deep Learning Real-World Case Studies,Interview Questions,78.1,Revision Questions,30 mins
Module 9: Deep Learning Real-World Case Studies,Interview Questions,78.2,External resources for Interview Questions,30 mins
Module 9: Deep Learning Real-World Case Studies,Module 9: Live Sessions,79.1,High-level design of a self driving system,
Module 9: Deep Learning Real-World Case Studies,Module 9: Live Sessions,79.2,Music Recommendation System,
Module 9: Deep Learning Real-World Case Studies,Module 9: Live Sessions,79.3,Speaker identification using audio + Siamese Networks,
Module 9: Deep Learning Real-World Case Studies,Module 9: Live Sessions,79.4,"Data Quality and Verification @ Uber, Netflix and Amazon",
Module 9: Deep Learning Real-World Case Studies,Module 9: Live Sessions,79.5,"Data Quality and Verification @ Uber, Netflix and Amazon -- Part-2",
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Machine Learning High-Level Design,80.1,Machine Learning design: Search engine for Q&A,
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Machine Learning High-Level Design,80.2,ML System Design: Feature Store,31 mins
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Machine Learning High-Level Design,80.1,Machine Learning design: Search engine for Q&A,
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Machine Learning High-Level Design,80.2,ML System Design: Feature Store,31 mins
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Sample Interview and Conceptual Questions [AUDIO],81.1,Sample Interview and Conceptual Questions [AUDIO],
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Reinforcement Learning,82.1,Applications of RL,10 mins
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Reinforcement Learning,82.2,Problem Forumulation & Terminology,8 mins
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Reinforcement Learning,82.3,Bellman Equation,20 mins
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Reinforcement Learning,82.4,Dynamic Programming and RL,11 mins
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Reinforcement Learning,82.5,Markov Decision Process (MDP),12 mins
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Reinforcement Learning,82.6,Q-function,7 mins
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Reinforcement Learning,82.7,Temporal Difference,11 mins
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Reinforcement Learning,82.8,Deep Q Learning: Intuition,5 mins
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Reinforcement Learning,82.9,Q&A,37 mins
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.1,"An overview of AI Algorithms ( a 10,000 feet view)",
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.2,Introduction to Big data for ML and AI,
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.3,Big-Data & Cloud Storage for ML/AI Applications,
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.4,Spark for Data Science and Machine Learning [Architecture and Programming model]- I,
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.5,Spark for Data Science and Machine Learning [Setup  + Code walkthroughs]-II,
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.6,Spark for Data Science and Machine Learning [ML Lib and ML Pipelines]-III,
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.7,How to Build a Chatbot?,
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.8,Design and build a Chatbot from Scratch,
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.9,Design and build a Chatbot from Scratch-Part 2,
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.10,How to build IoT + AI systems,
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.11,LIVE: How to Crack ML Competitions,
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.12,Live: Effective communication for DS and MLEs,
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.13,Sample Interview and Conceptual Questions [AUDIO],
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.14,Various roles in an ML/DataScience team,13 mins
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.15,Client management for AI Projects,11 mins
"Module 10:  Misc Topics: Spark for ML, Big Data, Reinforcement Learning, ML Design",Module 10: Live Sessions,83.16,Live Session(17th July 2022): ML System design Interview session,1 mins
